Case,Size,Bubble,Selection,Insertion,Heap,Quick,Merge,Radix,Flash
Sorted,100,0,0,0,0,0,0,0,0
Sorted,1000,0.006,0.006,0,0.001,0,0,0,0
Sorted,5000,0.188,0.165,0,0.004,0.001,0.024,0.003,0.003
Sorted,10000,0.836,0.697,0,0.011,0.003,0.047,0.008,0.005
Sorted,50000,20.958,18.61,0.002,0.047,0.017,0.221,0.024,0.019
Sorted,100000,83.806,75.168,0.004,0.091,0.032,0.429,0.074,0.031
Reversed,100,0,0,0,0,0,0,0,0
Reversed,1000,0.061,0.007,0.007,0.002,0,0.007,0.001,0
Reversed,5000,1.641,0.144,0.165,0.005,0.001,0.023,0.003,0.002
Reversed,10000,6.729,0.592,0.592,0,0.003,0.04,0.007,0.004
Reversed,50000,272.208,52.779,21.498,0.054,0.02,0.242,0.033,0.019
Reversed,100000,635.73,110.793,82.669,0.101,0.041,0.463,0.076,0.038
Random,100,0,0,0,0,0,0.001,0,0.001
Random,1000,0.05,0.009,0.007,0.001,0.001,0.008,0.001,0
Random,5000,1.197,0.194,0.104,0.006,0.005,0.029,0.005,0.003
Random,10000,4.733,0.766,0.425,0.014,0.012,0.058,0.012,0.005
Random,50000,134.582,18.976,11.903,0.066,0.068,0.345,0.031,0.023
Random,100000,536.468,85.284,58.649,0.13,0.131,0.537,0.08,0.044
